key,english,czech
"templates.n8n.no_credential","No credential",""
"templates.n8n.persona_preview","Persona Preview",""
"templates.n8n.unnamed_persona","Unnamed Persona",""
"templates.n8n.no_description","No description provided",""
"templates.n8n.tools_label","Tools",""
"templates.n8n.triggers_label","Triggers",""
"templates.n8n.connectors_label","Connectors",""
"templates.n8n.reviews_label","Reviews",""
"templates.n8n.memory_label","Memory",""
"templates.n8n.events_label","Events",""
"templates.n8n.tools_require_credentials","{count} tool(s) require credentials not yet configured:",""
"templates.n8n.system_prompt_preview","System Prompt Preview",""
"templates.n8n.confirm_hint","Review the details above, then click ""Confirm & Save Persona"" to create.",""
"templates.n8n.persona_created","Persona Created Successfully",""
"templates.n8n.persona_ready","{name} is ready to use. Find it in the sidebar.",""
"templates.n8n.entities_failed","{count} entity/entities failed",""
"templates.n8n.configure_connectors","Configure connector(s): {names}",""
"templates.n8n.upload_file","Upload File",""
"templates.n8n.paste_json","Paste JSON",""
"templates.n8n.from_url","From URL",""
"templates.n8n.drop_file_here","Drop your workflow file here",""
"templates.n8n.import_from_any_platform","Import a workflow from any platform",""
"templates.n8n.click_to_browse","Click to browse or drag and drop your exported workflow",""
"templates.n8n.continue_btn","Continue",""
"templates.n8n.press_enter_or_click","Press Enter or click to continue",""
"templates.n8n.paste_workflow_json","Paste workflow JSON",""
"templates.n8n.paste_placeholder","Paste your exported workflow JSON here...",""
"templates.n8n.import_btn","Import",""
"templates.n8n.import_from_url","Import from URL",""
"templates.n8n.url_description","Paste a URL to a raw workflow JSON file. Supports GitHub raw URLs, Gist links, and direct JSON endpoints.",""
"templates.n8n.fetching","Fetching",""
"templates.n8n.fetch","Fetch",""
"templates.n8n.accepts_label","Accepts:",""
"templates.n8n.customize_persona","A few questions to customize your persona",""
"templates.n8n.answer_then_generate","Answer below, then click Generate",""
"templates.n8n.list_view","List",""
"templates.n8n.focus_view","Focus",""
"templates.n8n.no_config_needed","No configuration needed",""
"templates.n8n.click_generate_defaults","Click Generate to create your persona draft with defaults.",""
"templates.n8n.your_answers","Your answers",""
"templates.n8n.back","Back",""
"templates.n8n.review_and_confirm","Review & Confirm",""
"templates.n8n.persona_saved","Persona Saved",""
"templates.n8n.saving","Saving...",""
"templates.n8n.confirm_and_save","Confirm & Save Persona",""
"templates.n8n.connectors_need_credentials","{count} connector(s) need credentials",""
"templates.n8n.testing_btn","Testing...",""
"templates.n8n.test_passed","Test Passed",""
"templates.n8n.retest","Retest",""
"templates.n8n.test_persona","Test Persona",""
"templates.n8n.fix_and_regenerate","Fix & Regenerate",""
"templates.n8n.build_persona","Build Persona",""
"templates.n8n.analyzing_btn","Analyzing...",""
"templates.n8n.upload_step","Upload",""
"templates.n8n.analyze_step","Analyze",""
"templates.n8n.streaming_sections","Streaming Sections",""
"templates.n8n.awaiting_next_section","Awaiting next section...",""
"templates.n8n.analyze_phase","Analyze",""
"templates.n8n.questions_phase","Questions",""
"templates.n8n.generate_phase","Generate",""
"templates.n8n.type_your_answer","Type your answer...",""
"templates.n8n.navigate_hint","Use arrow keys to navigate",""
"templates.diagram.no_flow_data","No flow data available",""
"templates.diagram.nodes_count","{count} nodes",""
"templates.diagram.edges_count","{count} edges",""
"templates.diagram.connectors_count","{count} connector(s)",""
"templates.diagram.decisions_count","{count} decision(s)",""
"templates.diagram.error_label","Error",""
"templates.diagram.request_label","Request",""
"templates.diagram.response_label","Response",""
"templates.design.connectors_and_tools","Connectors & Tools",""
"templates.design.general_tools","General Tools",""
"templates.design.credential_ready","Credential ready",""
"templates.design.configure_credential","Configure credential",""
"templates.design.events_and_triggers","Events & Triggers",""
"templates.design.what_activates","What activates this persona",""
"templates.design.triggers_section","Triggers",""
"templates.design.event_subscriptions","Event Subscriptions",""
"templates.design.messages_and_notifications","Messages & Notifications",""
"templates.design.how_communicates","How this persona communicates",""
"templates.design.requires_connector","Requires {name}",""
"templates.design.feasibility_assessment","Feasibility Assessment",""
"templates.design.confirmed_capabilities","Confirmed Capabilities",""
"templates.design.issues_label","Issues",""
"templates.design.suggested_next_steps","Suggested Next Steps",""
"templates.card.use_cases_label","Use Cases",""
"templates.card.connectors_label","Connectors",""
"templates.card.triggers_label","Triggers",""
"templates.card.no_flows","No flows",""
"templates.card.none_label","None",""
"templates.card.more_count","+{count} more",""
"templates.card.system_prompt","System Prompt",""
"templates.matrix_grid.prerequisites","Prerequisites",""
"templates.matrix_grid.all_set_start","All set -- Start Adoption",""
"templates.matrix_grid.continue_to_adoption","Continue to Adoption",""
"templates.matrix_grid.setup_in_wizard","(setup in wizard)",""
"templates.matrix_grid.credential_configured","Credential configured",""
"templates.matrix_grid.connector_not_installed","Connector not installed",""
"templates.matrix_grid.needs_credential","Needs credential",""
"templates.matrix_grid.setup_btn","Setup",""
"templates.adopt_modal.adopt_template","Adopt Template",""
"templates.adopt_modal.loading_template","Loading template into matrix...",""
"templates.adopt_modal.configure_your_persona","Configure Your Persona",""
"templates.adopt_modal.cancel","Cancel",""
"templates.adopt_modal.submit_all","Submit All",""
"templates.adopt_modal.submit_remaining","Submit All ({remaining} remaining)",""
"templates.adopt_modal.custom_btn","Custom...",""
"templates.adopt_modal.type_custom_value","Type your custom value...",""
"templates.adopt_modal.auto_detected","Auto-detected from credentials",""
"templates.adopt_modal.credential_required","No {category} credential found in your vault. Add one to continue.",""
"templates.adopt_modal.add_credential","Add credential",""
"templates.adopt_modal.blocked_blocking_submit","{count} question(s) need credentials before you can continue",""
"templates.scan.scanning_draft","Scanning persona draft...",""
"templates.scan.checking_unsafe","Checking for malicious instructions and unsafe patterns",""
"templates.scan.scan_passed","Safety scan passed",""
"templates.scan.no_concerns","No security concerns detected in this persona draft",""
"templates.scan.info_notes","{count} informational note(s) for review",""
"templates.scan.critical_issues","Critical security issues detected",""
"templates.scan.security_warnings","Security warnings detected",""
"templates.scan.review_findings","review findings before creating this persona",""
"templates.scan.critical_label","Critical",""
"templates.scan.warnings_label","Warnings",""
"templates.scan.informational_label","Informational",""
"templates.scan.source_label","Source:",""
"templates.team_synthesis.title","Synthesize Team",""
"templates.team_synthesis.subtitle","AI selects templates and assembles a connected team",""
"templates.team_synthesis.team_name_label","Team Name",""
"templates.team_synthesis.team_name_placeholder","e.g., Content Pipeline Team",""
"templates.team_synthesis.describe_team","Describe what this team should do",""
"templates.team_synthesis.describe_placeholder","e.g., Monitor social media mentions, analyze sentiment, generate reports, and send alerts to Slack when negative trends are detected",""
"templates.team_synthesis.synthesizing","Synthesizing...",""
"templates.team_synthesis.synthesize_team","Synthesize Team",""
"templates.team_synthesis.personas_created","{count} personas created and connected",""
"templates.team_synthesis.done","Done",""
"templates.matrix_variants.processing","Processing...",""
"templates.matrix_variants.run_test","RUN TEST",""
"templates.matrix_variants.testing_dots","TESTING...",""
"templates.matrix_variants.approve_label","APPROVE",""
"templates.matrix_variants.view_agent_label","VIEW AGENT",""
"templates.matrix_variants.no_data_yet","No data yet",""
"templates.matrix_variants.completeness","Completeness",""
"templates.matrix_variants.start_test","Start Test",""
"templates.matrix_variants.testing_agent","Testing agent...",""
"templates.matrix_variants.approve_and_promote","Approve & Promote",""
"templates.matrix_variants.view_agent_btn","View Agent",""
"templates.diagrams.no_flow_data","No flow data available",""
"templates.diagrams.nodes_count","{count} nodes",""
"templates.diagrams.edges_count","{count} edges",""
"templates.diagrams.connectors_count","{count} connector(s)",""
"templates.diagrams.decisions_count","{count} decision(s)",""
"templates.generation.create_template","Create Template",""
"templates.generation.create_template_subtitle","Design a reusable persona template with AI",""
"templates.generation.template_name_label","Template Name",""
"templates.generation.run_design_review","Run Design Review",""
"templates.generation.cancel","Cancel",""
"templates.generation.close","Close",""
"templates.generation.generating","Generating: {name}",""
"templates.generation.running","Running...",""
"templates.generation.runner_title","Run Design Review",""
"templates.generation.runner_running","Running tests...",""
"templates.generation.runner_complete","Review complete",""
"templates.generation.runner_configure","Configure and start a review run",""
"templates.generation.no_persona_warning","No persona selected. Select a persona in the sidebar before generating templates.",""
"templates.generation.template_progress","Template {current} of {total}",""
"templates.generation.generating_template","Generating: {name}",""
"templates.generation.start_review_predefined","Start Review (5 cases)",""
"templates.generation.start_batch","Start Batch ({count} template{plural})",""
"templates.generation.start_review_custom","Start Review ({count} case{plural})",""
"templates.generation.copy_log","Copy Log",""
"templates.generation.copied_log","Copied!",""
"templates.connector_edit.credential","Credential",""
"templates.connector_edit.select_credential","Select credential...",""
"templates.connector_edit.connector_type","Connector Type",""
"templates.connector_edit.switch_connector","Switch connector...",""
"templates.connector_edit.no_credentials","No credentials available for this connector",""
"templates.connector_edit.add_in_catalog","Add in Keys Catalog",""
"templates.connector_edit.database","Database",""
"templates.connector_edit.new_table","New",""
"templates.connector_edit.existing_table","Existing",""
"templates.connector_edit.configure_table","Configure table...",""
"templates.connector_edit.existing_table_label","Existing Table",""
"templates.connector_edit.schema","Schema",""
"templates.connector_edit.table_name","Table name",""
"templates.connector_edit.in_app_messages","In-App Messages",""
"templates.connector_edit.not_connected","not connected",""
"templates.connector_edit.no_connectors","No connectors required",""
"templates.connector_edit.linked","Linked",""
"templates.connector_edit.set_up","Set up",""
"templates.connector_edit.more_connectors","+{count} more",""
"templates.trigger_edit.schedule","Schedule",""
"templates.trigger_edit.schedule_placeholder","Every weekday at 9am",""
"templates.trigger_edit.schedule_hint","Natural language or cron (e.g. ""0 9 * * 1-5"")",""
"templates.trigger_edit.webhook_url","Webhook URL",""
"templates.trigger_edit.check_interval","Check Interval",""
"templates.trigger_edit.check_interval_placeholder","Every 5 minutes",""
"templates.trigger_edit.no_config_needed","No configuration needed",""
"templates.trigger_edit.manual_only","Manual execution only",""
"templates.preset_edit.select_review","Select review policy...",""
"templates.preset_edit.select_memory","Select memory strategy...",""
"templates.preset_edit.notification_strategy","Notification strategy...",""
"templates.preset_edit.error_handling","Error handling...",""
"templates.preset_edit.add_use_case","Add use case...",""
"templates.preset_edit.halt_on_error","Halt on error",""
"templates.preset_edit.retry_once","Retry once",""
"templates.preset_edit.retry_3x","Retry 3x",""
"templates.preset_edit.notify_continue","Notify & continue",""
"templates.preset_edit.skip_failed","Skip failed step",""
"templates.test_report.title","Test Report",""
"templates.test_report.passed","{count} passed",""
"templates.test_report.failed","{count} failed",""
"templates.test_report.skipped","{count} skipped",""
"templates.test_report.test_scope","Test Scope",""
"templates.test_report.overview","Overview",""
"templates.test_report.analysis","Analysis",""
"templates.test_report.results","Results",""
"templates.test_report.next_steps","Next Steps",""
"templates.test_report.connector_credentials","Connector Credentials",""
"templates.test_report.matched","matched",""
"templates.test_report.not_found","not found",""
"templates.test_report.missing_keys_hint","Add missing API keys in the Keys section before approving this agent.",""
"templates.test_report.connected_successfully","Connected Successfully",""
"templates.test_report.needs_credentials","Needs Credentials",""
"templates.test_report.add_keys_hint","Add the required API keys in the Keys section to enable these tools.",""
"templates.test_report.connection_failed","Connection Failed",""
"templates.test_report.builtin_no_test","Built-in (No Test Needed)",""
"templates.test_report.what_happened","What happened",""
"templates.test_report.service","Service",""
"templates.test_report.response_preview","Response Preview",""
"templates.test_report.error_detail","Error Detail",""
"templates.test_report.copy","Copy",""
"templates.test_report.copied","Copied",""
"triggers.title","Triggers & Automations","Spouštěče a řetězce"
"triggers.subtitle","Set up what causes your agents to run automatically","Automatizujte workflow agentů pomocí spouštěčů událostí a řetězených akcí"
"triggers.builder.add_persona_action","Add persona",""
"triggers.builder.auto_layout","Auto layout",""
"triggers.builder.cancel","Cancel",""
"triggers.builder.canvas_templates","Canvas Templates",""
"triggers.builder.connected_listeners","Connected listeners",""
"triggers.builder.connected_personas","Connected personas",""
"triggers.builder.current_name","Current name",""
"triggers.builder.custom_event_placeholder","custom.event.type",""
"triggers.builder.done","Done",""
"triggers.builder.double_click_edit","Double-click to edit",""
"triggers.builder.events","Events",""
"triggers.builder.filter_events_placeholder","Filter events...",""
"triggers.builder.filter_personas_placeholder","Filter personas...",""
"triggers.builder.hide_sidebar","Hide sidebar",""
"triggers.builder.impact_preview","Impact preview",""
"triggers.builder.init_handlers_title","Initial handlers",""
"triggers.builder.layout","Layout",""
"triggers.builder.marketplace","Marketplace",""
"triggers.builder.new_name","New name",""
"triggers.builder.no_events_filter","No events match filter",""
"triggers.builder.no_matches","No matches",""
"triggers.builder.no_matching_events","No matching events",""
"triggers.builder.no_personas_connected","No personas connected",""
"triggers.builder.no_personas_created","No personas created",""
"triggers.builder.note_placeholder","Add a note...",""
"triggers.builder.personas","Personas",""
"triggers.builder.refresh","Refresh",""
"triggers.builder.rename","Rename",""
"triggers.builder.rename_event_action","Rename event",""
"triggers.builder.rename_event_desc","Update the event type across all references.",""
"triggers.builder.rename_event_type","Rename event type",""
"triggers.builder.rename_placeholder","new.event.type",""
"triggers.builder.renaming","Renaming...",""
"triggers.builder.show_sidebar","Show sidebar",""
"triggers.builder.source","Source",""
"triggers.builder.source_personas","Source personas",""
"triggers.builder.use_template","Use template",""
"triggers.studio.building_blocks","Building Blocks",""
"triggers.studio.clear","Clear",""
"triggers.studio.clear_canvas","Clear canvas",""
"triggers.studio.drag_or_click_to_add","Drag or click to add",""
"triggers.studio.export","Export",""
"triggers.studio.export_chain","Export chain",""
"triggers.studio.import","Import",""
"triggers.studio.import_chain","Import chain",""
"triggers.studio.logic_gates","Logic Gates",""
"triggers.studio.persona_steps","Persona Steps",""
"triggers.studio.remove_from_chain","Remove from chain",""
"triggers.studio.studio_title","Trigger Studio",""
"triggers.studio.trigger_sources","Trigger Sources",""
"triggers.studio.unsaved_changes","Unsaved changes",""
"triggers.subscription_list.active","Active",""
"triggers.subscription_list.browse_marketplace","Browse marketplace",""
"triggers.subscription_list.col_actions","Actions",""
"triggers.subscription_list.col_event_type","Event Type",""
"triggers.subscription_list.col_events","Events",""
"triggers.subscription_list.col_feed","Feed",""
"triggers.subscription_list.col_last_event","Last Event",""
"triggers.subscription_list.col_status","Status",""
"triggers.subscription_list.error","Error",""
"triggers.subscription_list.never","Never",""
"triggers.subscription_list.no_active_subs","No active subscriptions",""
"triggers.subscription_list.unsubscribe","Unsubscribe",""
"triggers.type_selector.trigger_type","Trigger Type",""
"triggers.tab_triggers","Triggers","Spouštěče"
"triggers.tab_chains","Automations","Řetězce"
"triggers.tab_subscriptions","Subscriptions","Odběry"
"triggers.health_failing","One or more triggers failing","Jeden nebo více spouštěčů selhává"
"triggers.health_degraded","One or more triggers degraded","Jeden nebo více spouštěčů je degradováno"
"triggers.category_label","Trigger Category","Kategorie spouštěče"
"triggers.category_manual","Manual","Ruční"
"triggers.category_manual_hint","Run on demand","Spustit na vyžádání"
"triggers.type_label","Trigger Type","Typ spouštěče"
"triggers.quick_templates","Quick Templates","Rychlé šablony"
"triggers.type_manual","Manual",""
"triggers.type_schedule","Schedule",""
"triggers.type_webhook","Webhook",""
"triggers.type_polling","Auto-Check",""
"triggers.type_event_listener","Event Listener",""
"triggers.type_file_watcher","File Watcher",""
"triggers.type_clipboard","Clipboard",""
"triggers.type_app_focus","App Focus",""
"triggers.type_chain","Chain",""
"triggers.type_composite","Combined",""
"triggers.desc_manual","Run on demand",""
"triggers.desc_schedule","Run on a timer or cron",""
"triggers.desc_polling","Check an endpoint",""
"triggers.desc_webhook","HTTP webhook listener",""
"triggers.desc_event_listener","React to internal events",""
"triggers.desc_file_watcher","React to file system changes",""
"triggers.desc_clipboard","React to clipboard changes",""
"triggers.desc_app_focus","React to app focus changes",""
"triggers.desc_chain","Trigger after another agent completes",""
"triggers.desc_composite","Multiple conditions + time window",""
"triggers.category_pull","Watch",""
"triggers.category_push","Listen",""
"triggers.category_compose","Combine",""
"triggers.category_pull_desc","Poll for changes on an interval",""
"triggers.category_push_desc","Receive external signals",""
"triggers.category_compose_desc","Chain or compose triggers",""
"triggers.rate_per_minute","Per minute",""
"triggers.rate_per_5_minutes","Per 5 minutes",""
"triggers.rate_per_hour","Per hour",""
"triggers.tpl_fw_error_logs","Auto-analyze error logs",""
"triggers.tpl_fw_error_logs_desc","Triggers when new .log files appear or change in a folder",""
"triggers.tpl_fw_csv_data","Process new CSV files",""
"triggers.tpl_fw_csv_data_desc","Triggers when CSV files are added or modified",""
"triggers.tpl_fw_config_changes","Watch config file changes",""
"triggers.tpl_fw_config_changes_desc","Triggers on changes to JSON, YAML, or TOML config files",""
"triggers.tpl_cb_url_summarize","Auto-summarize copied URLs",""
"triggers.tpl_cb_url_summarize_desc","Triggers when you copy a URL to your clipboard",""
"triggers.tpl_cb_error_message","Auto-diagnose error messages",""
"triggers.tpl_cb_error_message_desc","Triggers when you copy text containing errors or exceptions",""
"triggers.tpl_cb_code_snippet","Auto-format code snippets",""
"triggers.tpl_cb_code_snippet_desc","Triggers when you copy code-like text (function definitions, imports)",""
"triggers.webhook_listener","webhook listener",""
"triggers.custom_endpoint","custom endpoint",""
"triggers.every_interval","every {interval}",""
"triggers.from_source","from {source}",""
"triggers.schedule.interval_label","Interval",""
"triggers.schedule.preset_1m","1 min",""
"triggers.schedule.preset_5m","5 min",""
"triggers.schedule.preset_15m","15 min",""
"triggers.schedule.preset_1h","1 hour",""
"triggers.schedule.preset_6h","6 hours",""
"triggers.schedule.preset_24h","24 hours",""
"triggers.schedule.custom","Custom",""
"triggers.schedule.mode_interval","Interval",""
"triggers.schedule.mode_cron","Cron",""
"triggers.schedule.cron_label","Schedule Expression",""
"triggers.schedule.cron_placeholder","0 9 * * 1-5",""
"triggers.schedule.cron_loading","Previewing...",""
"triggers.schedule.cron_weekday_9am","Weekdays 9am",""
"triggers.schedule.cron_every_hour","Every hour",""
"triggers.schedule.cron_daily_midnight","Daily midnight",""
"triggers.schedule.cron_weekly_monday","Weekly Monday",""
"triggers.schedule.next_runs","Next runs",""
"triggers.schedule.invalid_cron","Invalid schedule expression",""
"triggers.add.create_trigger","Create Trigger",""
"triggers.add.creating","Creating...",""
"triggers.detail.test_fire","Test Fire",""
"triggers.detail.test_firing","Firing...",""
"triggers.detail.validate_and_fire","Validate trigger config, then fire",""
"triggers.detail.validating","Validating...",""
"triggers.detail.dry_run","Test Run",""
"triggers.detail.dry_running","Running...",""
"triggers.detail.simulate_hint","Preview what would happen without actually running",""
"triggers.detail.simulating","Simulating...",""
"triggers.detail.delete","Delete",""
"triggers.detail.delete_confirm","Confirm delete",""
"triggers.detail.delete_trigger","Delete trigger",""
"triggers.detail.activity_log","Activity Log",""
"triggers.detail.no_activity","No activity recorded yet",""
"triggers.detail.webhook_url","Webhook URL",""
"triggers.detail.webhook_secret","Security Key",""
"triggers.detail.copied","Copied!",""
"triggers.detail.copy_curl","Copy sample curl",""
"triggers.detail.last_fired","Last fired",""
"triggers.detail.never_fired","Never fired",""
"triggers.detail.fire_count_one","Fired {count} time",""
"triggers.detail.fire_count_other","Fired {count} times",""
"triggers.list.empty_title","No triggers configured yet",""
"triggers.list.empty_hint","Triggers let your agents run automatically -- on a schedule, when a file changes, when data arrives, and more.",""
"triggers.list.create_first","Create Your First Trigger",""
"triggers.list.event_triggers","Event Triggers",""
"triggers.list.budget_unavailable","Budget data unavailable",""
"triggers.list.unknown_budget","Unknown Budget",""
"triggers.list.budget_exceeded","Monthly budget exceeded -- trigger paused",""
"triggers.list.budget","Budget",""
"triggers.config.no_persona","No persona selected",""
"triggers.config.title","Triggers",""
"triggers.config.add_trigger","Add Trigger",""
"triggers.config.empty","No triggers configured. Add one to automate this persona.",""
"triggers.countdown.due_now","Due now",""
"triggers.countdown.fires_in","Fires in {time}",""
"triggers.polling.endpoint_label","URL to Check",""
"triggers.polling.endpoint_placeholder","https://api.example.com/status",""
"triggers.polling.check_interval","Check every {interval}",""
"triggers.polling.content_hash","Detect changes only",""
"triggers.webhook.url_label","Webhook URL",""
"triggers.webhook.secret_label","Security Key (optional)",""
"triggers.webhook.secret_placeholder","Secret key to verify incoming data",""
"triggers.file_watcher.paths_label","Watch Paths",""
"triggers.file_watcher.path_placeholder","/path/to/watch",""
"triggers.file_watcher.add_path","Add path",""
"triggers.file_watcher.events_label","File Events",""
"triggers.file_watcher.event_modify","Modify",""
"triggers.file_watcher.event_create","Create",""
"triggers.file_watcher.event_delete","Delete",""
"triggers.file_watcher.recursive","Recursive",""
"triggers.file_watcher.glob_filter","File Pattern",""
"triggers.file_watcher.glob_placeholder","*.json",""
"triggers.clipboard.content_type","Content Type",""
"triggers.clipboard.type_text","Text",""
"triggers.clipboard.type_image","Image",""
"triggers.clipboard.pattern_label","Match Pattern",""
"triggers.clipboard.pattern_placeholder","e.g. https?://.*",""
"triggers.clipboard.interval_label","Check Interval (seconds)",""
"triggers.app_focus.app_names_label","Application Names",""
"triggers.app_focus.app_placeholder","e.g. Chrome, Firefox",""
"triggers.app_focus.add_app","Add app",""
"triggers.app_focus.title_pattern","Window Title Pattern",""
"triggers.app_focus.title_placeholder","e.g. .*GitHub.*",""
"triggers.app_focus.interval_label","Check Interval (seconds)",""
"triggers.event_listener.event_type_label","Event Type",""
"triggers.event_listener.event_type_placeholder","e.g. persona.execution.completed",""
"triggers.event_listener.source_filter_label","Source Filter",""
"triggers.event_listener.source_filter_placeholder","e.g. persona:abc123",""
"triggers.composite.conditions_label","Conditions",""
"triggers.composite.add_condition","Add condition",""
"triggers.composite.operator_all","All conditions must match",""
"triggers.composite.operator_any","Any condition can match",""
"triggers.composite.window_label","Time Window (seconds)",""
"triggers.rate_limit.title","Speed Limits",""
"triggers.rate_limit.max_fires","Max runs",""
"triggers.rate_limit.per_window","Time period",""
"triggers.rate_limit.window_seconds","{seconds}s",""
"triggers.rate_limit.window_minutes","{minutes}m",""
"triggers.rate_limit.window_hours","{hours}h",""
"triggers.rate_limit.currently_limited","Currently paused (limit reached)",""
"triggers.dry_run.title","Test Run Result",""
"triggers.dry_run.would_fire","Would run",""
"triggers.dry_run.would_not_fire","Would not run",""
"triggers.dry_run.matched_conditions","Conditions met",""
"triggers.dry_run.payload_preview","Data preview",""
"triggers.tab_live_stream","Live Stream",""
"triggers.tab_live_stream_subtitle","Real-time event hub -- agents publish and subscribe to events through this shared bus",""
"triggers.tab_builder","Builder",""
"triggers.tab_builder_subtitle","Connect personas to event sources -- every event flowing through the bus, with the personas listening to it",""
"triggers.tab_rate_limits","Speed Limits",""
"triggers.tab_rate_limits_subtitle","Throttling, queue depth, and concurrency limits for triggers",""
"triggers.tab_test","Test",""
"triggers.tab_test_subtitle","Fire test events into the bus to validate listeners and routing",""
"triggers.tab_smee_relay","Local Relay",""
"triggers.tab_smee_relay_subtitle","Forward webhooks from public endpoints into your local event bus",""
"triggers.tab_cloud_webhooks","Cloud Events",""
"triggers.tab_cloud_webhooks_subtitle","Webhook endpoints exposed by deployed cloud workers",""
"triggers.tab_dead_letter","Dead Letter Queue",""
"triggers.tab_dead_letter_subtitle","Events that failed delivery -- inspect, retry, or discard",""
"triggers.tab_studio","Chain Studio",""
"triggers.tab_studio_subtitle","Visually compose multi-step trigger chains with conditional routing",""
"triggers.tab_shared","Marketplace",""
"triggers.tab_shared_subtitle","Discover and subscribe to events shared by other personas",""
"triggers.full_event_log","Full Event Log",""
"triggers.on_label","On",""
"triggers.off_label","Off",""
"triggers.throttled_label","Throttled",""
"triggers.queued_label","{count} queued",""
"triggers.unknown_budget_label","Unknown Budget",""
"triggers.budget_label","Budget",""
"triggers.or_use_templates","or use templates",""
"triggers.schedule_mode_label","Schedule Mode",""
"triggers.test_fire_label","Test fire",""
"triggers.dry_run_label","Dry run",""
"triggers.copy_sample_curl","Copy sample curl",""
"triggers.event_listener_label","Event Listener",""
"triggers.execution_history","Execution history",""
"triggers.could_not_load_history","Could not load history",""
"triggers.no_executions_recorded","No executions recorded for this trigger yet",""
"triggers.replaying_label","Replaying...",""
"triggers.replay_label","Replay",""
"triggers.local_time","local time",""
"triggers.describe_trigger","Describe your trigger",""
"triggers.could_not_parse","Could not parse a trigger from that description. Try something like",""
"triggers.rate_limiting","Rate Limiting",""
"triggers.max_executions","Max executions",""
"triggers.cooldown_label","Cooldown between firings (seconds)",""
"triggers.max_concurrent_label","Max concurrent executions",""
"triggers.unlimited_hint","0 = unlimited",""
"triggers.window_usage","Window usage",""
"triggers.concurrent_label","Concurrent",""
"triggers.cooldown_stat","Cooldown",""
"triggers.queued_stat","Queued",""
"triggers.clear_all_limits","Clear all limits",""
"triggers.dry_run_result_title","Dry Run Result",""
"triggers.all_checks_passed","All checks passed",""
"triggers.validation_failed","Validation failed",""
"triggers.simulated_event","Simulated Event",""
"triggers.matched_subscriptions_title","Matched Subscriptions",""
"triggers.no_subscriptions_activated","No subscriptions would be activated",""
"triggers.active_hours","Active Hours",""
"triggers.only_fire_during_active","Only fire during active hours",""
"triggers.weekdays_preset","Weekdays",""
"triggers.every_day_preset","Every day",""
"triggers.hmac_secret_label","HMAC Secret",""
"triggers.hmac_help","Incoming webhooks must include a valid HMAC signature header. A secret will be auto-generated if left empty.",""
"triggers.auto_generated_hint","Auto-generated if left empty",""
"triggers.webhook_url_note","A unique webhook URL will be shown after creation with a copy button",""
"triggers.hide_secret","Hide secret",""
"triggers.show_secret","Show secret",""
"triggers.generate_secret","Generate random secret",""
"triggers.watch_subdirs","Watch subdirectories recursively",""
"triggers.text_pattern_help","Only fires when clipboard text matches this pattern",""
"triggers.app_names_help","Leave empty to trigger on any app focus change",""
"triggers.source_filter_optional","Source filter (optional)",""
"triggers.op_all_label","ALL (AND)",""
"triggers.op_all_desc","All conditions must match",""
"triggers.op_any_label","ANY (OR)",""
"triggers.op_any_desc","At least one condition",""
"triggers.op_sequence_label","Sequence",""
"triggers.op_sequence_desc","Conditions in order",""
"triggers.time_window_help","All conditions must be met within this time window",""
"triggers.credential_event_help","Link to a credential event instead of a custom endpoint",""
"triggers.none_use_endpoint","None - use endpoint URL instead",""
"triggers.disabled_label","Disabled",""
"triggers.manual_label","Manual",""
"triggers.pending_label","Pending",""
"triggers.fire_label","Fire",""
"triggers.webhook_label","Webhook",""
"triggers.chain_label","Chain",""
"triggers.poll_interval_label","Poll Interval (seconds)",""
"triggers.endpoint_url","Endpoint URL",""
"triggers.dev_mode_warning","Dev mode -- this URL is only reachable locally",""
"triggers.conditions_met","{met}/{total} conditions met",""
"triggers.suppressed_label","suppressed",""
"triggers.request_inspector","Request inspector",""
"triggers.errors_count","{count} errors",""
"triggers.could_not_load_log","Could not load request log",""
"triggers.no_webhook_requests","No webhook requests received yet",""
"triggers.clear_all","Clear all",""
"triggers.all_statuses","All statuses",""
"triggers.all_types","All types",""
"triggers.target_agent_label","Target Agent",""
"triggers.broadcast_label","broadcast",""
"triggers.live_label","Live",""
"triggers.paused_label","Paused",""
"triggers.connecting_label","Connecting",""
"triggers.events_per_min","events/min",""
"triggers.received_label","received",""
"triggers.in_buffer","in buffer",""
"triggers.resume_label","Resume",""
"triggers.pause_label","Pause",""
"triggers.no_events_title","No events on the bus",""
"triggers.no_events_desc","Events will appear here in real-time as agents publish and subscribe through the shared event bus.",""
"triggers.connecting_to_bus","Connecting to event bus...",""
"triggers.event_data","Event Data",""
"triggers.copy_json","Copy JSON",""
"triggers.no_event_data","No event data",""
"triggers.publish_test_event","Publish Test Event",""
"triggers.publish_test_desc","Fire a test event into the bus to verify subscriptions and agent routing.",""
"triggers.event_type_form_label","Event Type",""
"triggers.payload_json_label","Payload (JSON)",""
"triggers.publishing_label","Publishing...",""
"triggers.publish_event","Publish Event",""
"triggers.event_published","Event published",""
"triggers.dead_letter_help","Events that failed processing after exhausting all retry attempts. You can retry them manually or discard.",""
"triggers.no_dead_letters","No dead-lettered events",""
"triggers.all_events_processed","All events processed successfully",""
"triggers.exhausted_label","Exhausted",""
"triggers.no_active_relays","No active relays",""
"triggers.smee_relays","Smee Relays",""
"triggers.add_relay","Add Relay",""
"triggers.create_relay","Create Relay",""
"triggers.label_field","Label",""
"triggers.channel_url_label","Channel URL",""
