key,english,czech
"agents.connector_picker.search","Search connectors...","Hledat konektory..."
"agents.connector_picker.no_match","No connectors match ""{search}""","Žádné konektory neodpovídají ""{search}"""
"agents.policy_picker.error_handling","Error Handling","Zpracování chyb"
"agents.policy_picker.manual_review","Manual Review","Manuální kontrola"
"agents.table_selector.title","Select Tables","Vybrat tabulky"
"agents.table_selector.subtitle","{label} -- choose tables to watch","{label} – vyberte tabulky ke sledování"
"agents.table_selector.tables_selected_one","{count} table selected","{count} tabulka vybrána"
"agents.table_selector.tables_selected_other","{count} tables selected","{count} tabulek vybráno"
"agents.table_selector.no_tables_selected","No tables selected -- agent watches all","Žádné tabulky nevybrány – agent sleduje vše"
"agents.trigger_popover.trigger","Trigger","Spouštěč"
"agents.trigger_popover.clear_override","Clear override","Zrušit přepsání"
"agents.use_case.add","Add use case","Přidat případ užití"
"agents.use_case.title_placeholder","Use case title -- e.g. Handle refund requests, Summarize daily tickets","Název případu užití – např. Vyřizování žádostí o vrácení peněz, Souhrn denních tiketů"
"agents.use_case.description_placeholder","Describe the steps -- e.g. When a refund request arrives, verify the order, check policy, and send approval or denial","Popište kroky – např. Když dorazí žádost o vrácení, ověř objednávku, zkontroluj pravidla a odešli schválení nebo zamítnutí"
"agents.builder_action.processing","Processing...","Zpracování..."
"agents.builder_action.error_retry","Something went wrong. Please try again.","Něco se nepovedlo. Zkuste to prosím znovu."
"agents.builder_action.enhancing","Enhancing...","Vylepšování..."
"agents.builder_action.enhance_with_ai","Enhance with AI","Vylepšit pomocí AI"
"agents.builder_action.describe_agent","Describe what your agent should do","Popište, co má váš agent dělat"
"agents.builder_preview.title","Preview","Náhled"
"agents.builder_preview.start_building","Start building to see a preview","Začněte tvořit pro zobrazení náhledu"
"agents.builder_preview.intent","Intent","Záměr"
"agents.builder_preview.use_cases","Use Cases","Případy užití"
"agents.builder_preview.none_yet","None yet","Zatím žádné"
"agents.builder_preview.components","Components","Komponenty"
"agents.builder_preview.none","None","Žádné"
"agents.builder_preview.credentials_covered","Credentials: {matched}/{total} covered","Údaje: {matched}/{total} zajištěno"
"agents.builder_preview.schedule","Schedule","Plán"
"agents.builder_preview.manual_only","Manual only","Pouze manuálně"
"agents.builder_preview.errors","Errors","Chyby"
"agents.builder_preview.review","Review","Kontrola"
"agents.dry_run.ready","Ready","Připraveno"
"agents.dry_run.blocked","Blocked","Blokováno"
"agents.dry_run.partial","Partial","Částečné"
"agents.dry_run.issues_remaining_one","{count} issue remaining","Zbývá {count} problém"
"agents.dry_run.issues_remaining_other","{count} issues remaining","Zbývá {count} problémů"
"agents.dry_run.capabilities","Capabilities","Schopnosti"
"agents.dry_run.issues","Issues","Problémy"
"agents.dry_run.apply_fix","Apply Fix: {label}","Použít opravu: {label}"
"agents.dry_run.manual_action_needed","Manual action needed","Vyžadována manuální akce"
"agents.dry_run.no_issues","No issues found. Your agent configuration looks good.","Žádné problémy nebyly nalezeny. Konfigurace agenta vypadá v pořádku."
"agents.identity_preview.title","Preview","Náhled"
"agents.identity_preview.agent_name_placeholder","Agent Name","Název agenta"
"agents.identity_preview.description_placeholder","Description","Popis"
"agents.identity_preview.use_cases","Use Cases","Případy užití"
"agents.identity_preview.more","+{count} more","+{count} dalších"
"agents.identity_preview.components","Components","Komponenty"
"agents.identity_preview.schedule_label","Schedule:","Plán:"
"agents.identity_preview.errors_label","Errors:","Chyby:"
"agents.identity_preview.review_label","Review:","Kontrola:"
"agents.build_review.agent_name","Agent name","Název agenta"
"agents.build_review.all_dimensions","All 8 dimensions","Všech 8 dimenzí"
"agents.build_review.prompt_generated","Prompt generated","Prompt vygenerován"
"agents.build_review.connectors_ready","Connectors ready","Konektory připraveny"
"agents.build_review.promote_agent","Promote Agent","Povýšit agenta"
"agents.build_review.testing","Testing...","Testování..."
"agents.build_review.test_agent","Test Agent","Testovat agenta"
"agents.connectors_cell.add_in_keys","Add in Keys","Přidat do Klíčů"
"agents.connectors_cell.linked","Linked","Propojeno"
"agents.connectors_cell.link","Link","Propojit"
"agents.connectors_cell.no_credential_found","No {name} credential found. Add one in Keys to continue.","Žádné údaje pro {name} nebyly nalezeny. Přidejte je v sekci Klíče pro pokračování."
"agents.connectors_cell.swap_to","Swap to:","Přepnout na:"
"agents.connectors_cell.recalculating","Recalculating...","Přepočítávání..."
"agents.connectors_cell.recalculate_dimensions","Recalculate Dimensions","Přepočítat dimenze"
"agents.connectors_cell.rebuilding","Rebuilding with new connector...","Sestavování s novým konektorem..."
"agents.dimension_edit.add_item","Add item...","Přidat položku..."
"agents.dimension_edit.add_connector","Add connector...","Přidat konektor..."
"agents.dimension_edit.add_trigger","Add trigger...","Přidat spouštěč..."
"agents.dimension_edit.add_task","Add task...","Přidat úkol..."
"agents.dimension_edit.add_channel","Add notification channel...","Přidat kanál oznámení..."
"agents.dimension_edit.add_memory","Add memory item...","Přidat položku paměti..."
"agents.dimension_edit.add_error_strategy","Add error strategy...","Přidat strategii chyb..."
"agents.dimension_edit.add_review_rule","Add review rule...","Přidat pravidlo kontroly..."
"agents.dimension_edit.replace","Replace","Nahradit"
"agents.dimension_edit.replace_connector","Replace: {name}","Nahradit: {name}"
"agents.dimension_edit.pick_credential","Pick one of your connected credentials","Vyberte jedny z připojených údajů"
"agents.dimension_edit.no_connected_credentials","No connected credentials yet","Zatím žádné připojené údaje"
"agents.dimension_edit.add_credentials_hint","Add credentials in the Keys module first.","Nejprve přidejte přihlašovací údaje v modulu Klíče."
"agents.dimension_edit.open_keys","Open Keys","Otevřít Klíče"
"agents.dimension_edit.add_credential_in_keys","Add credential in Keys","Přidat údaje v Klíčích"
"agents.dimension_edit.healthy","healthy","v pořádku"
"agents.dimension_edit.check_failed","check failed","kontrola selhala"
"agents.dimension_edit.not_tested","not tested","netestováno"
"agents.dimension_edit.credential_warning","Some connectors need healthy credentials before this dimension can be finalized","Některé konektory vyžadují funkční údaje před finalizací této dimenze"
"agents.dimension_edit.approval_required","Approval Required","Vyžaduje schválení"
"agents.dimension_edit.fully_automated","Fully Automated","Plně automatizováno"
"agents.dimension_edit.cron_label","Cron:","Cron:"
"agents.dimension_edit.every_label","Every:","Každý:"
"agents.dimension_edit.done","Done","Hotovo"
"agents.quick_config.title","Quick Setup","Rychlé nastavení"
"agents.quick_config.start_conditions","Start Conditions","Podmínky spuštění"
"agents.quick_config.apps_and_services","Apps & Services","Aplikace a služby"
"agents.quick_config.time_schedule","Time Schedule","Časový plán"
"agents.quick_config.event_triggers","Event Triggers","Spouštěče událostí"
"agents.quick_config.frequency","Frequency","Frekvence"
"agents.quick_config.daily","Daily","Denně"
"agents.quick_config.weekly","Weekly","Týdně"
"agents.quick_config.monthly","Monthly","Měsíčně"
"agents.quick_config.days","Days","Dny"
"agents.quick_config.day_of_month","Day of Month","Den v měsíci"
"agents.quick_config.time","Time","Čas"
"agents.events_panel.source_agent","Source Agent","Zdrojový agent"
"agents.events_panel.no_agents","No agents available","Žádní agenti nejsou dostupní"
"agents.events_panel.events_from","Events from {name}","Události od {name}"
"agents.events_panel.select_agent","Select an agent","Vyberte agenta"
"agents.events_panel.loading_events","Loading events...","Načítání událostí..."
"agents.events_panel.no_subscriptions","No event subscriptions found","Žádné odběry událostí nebyly nalezeny"
"agents.events_panel.choose_agent","Choose an agent to see its events","Vyberte agenta, abyste viděli jeho události"
"agents.matrix_cred_picker.no_stored","No stored credentials","Žádné uložené údaje"
"agents.matrix_cred_picker.best_match","Best match","Nejlepší shoda"
"agents.matrix_cred_picker.other","Other","Ostatní"
"agents.services_panel.no_connectors","No connectors with healthy API keys found. Add credentials in the Vault first.","Nebyly nalezeny konektory s funkčními API klíči. Nejprve přidejte údaje do Trezoru."
"agents.services_panel.select_table","Select table","Vybrat tabulku"
"agents.spatial_question.agent_configuration","Agent Configuration","Konfigurace agenta"
"agents.spatial_question.or_custom_answer","Or type a custom answer","Nebo napište vlastní odpověď"
"agents.spatial_question.type_answer","Type your answer...","Napište svou odpověď..."
"agents.spatial_question.submit","Submit","Odeslat"
"agents.spatial_question.press_to_select","Press 1-{count} to select instantly","Stiskněte 1-{count} pro okamžitý výběr"
"agents.table_picker.title","Select Table","Vybrat tabulku"
"agents.table_picker.search","Search tables...","Hledat tabulky..."
"agents.table_picker.loading","Loading tables...","Načítání tabulek..."
"agents.table_picker.no_tables","No tables found for this connector","Pro tento konektor nebyly nalezeny žádné tabulky"
"agents.table_picker.clear_selection","Clear selection","Smazat výběr"
"agents.table_picker.no_match","No tables matching ""{search}""","Žádné tabulky neodpovídají ""{search}"""
"agents.matrix_entry.new_agent","New Agent","Nový agent"
"agents.matrix_entry.failed_to_create","Failed to create draft agent.","Nepodařilo se vytvořit návrh agenta."
"agents.matrix_entry.build_failed","Build failed to start. Check CLI configuration.","Sestavení se nepodařilo spustit. Zkontrolujte nastavení CLI."
"agents.workflow_upload.build_hint","Press Build to transform this workflow into a persona agent.","Stiskněte Sestavit pro transformaci tohoto workflow na agenta."
"agents.workflow_upload.paste_placeholder","Paste your workflow JSON here...","Zde vložte JSON vašeho workflow..."
"agents.workflow_upload.parse","Parse","Zpracovat"
"agents.workflow_upload.drop_file","Drop a workflow file here","Přetáhněte soubor workflow sem"
"agents.workflow_upload.file_types","n8n, Zapier, Make, or GitHub Actions (.json, .yaml)","n8n, Zapier, Make nebo GitHub Actions (.json, .yaml)"
"agents.workflow_upload.paste_json","Or paste JSON directly","Nebo vložte JSON přímo"
"agents.config_popup.load_error","Could not load saved values -- you may need to re-enter them.","Nepodařilo se načíst uložené hodnoty – možná je budete muset zadat znovu."
"agents.config_popup.fill_hint","Fill in at least one field to save","Vyplňte alespoň jedno pole pro uložení"
"agents.config_popup.failed_to_save","Failed to save configuration","Nepodařilo se uložit konfiguraci"
"agents.onboarding.setup_complete","Setup {score}% complete","Nastavení dokončeno z {score} %"
"agents.onboarding.steps_done","{completed}/{total} steps done","Hotovo {completed} z {total} kroků"
"agents.onboarding.dismiss_checklist","Dismiss checklist","Zavřít seznam úkolů"
"agents.template_picker.title","Choose a Template","Vyberte šablonu"
"agents.template_picker.subtitle","Pick a template to pre-fill your agent, or start from scratch.","Vyberte šablonu pro předvyplnění agenta nebo začněte od nuly."
"agents.template_picker.start_from_scratch","Start from scratch","Začít od nuly"
"agents.persona_overview.no_match","No personas match","Žádné persony neodpovídají"
"agents.persona_overview.no_connectors","No connectors","Bez konektorů"
"agents.persona_overview.never","Never","Nikdy"
"agents.persona_overview.description_copied","Description copied to clipboard","Popis zkopírován do schránky"
"agents.persona_overview.failed_copy","Failed to copy description","Kopírování popisu selhalo"
"agents.persona_overview.no_connectors_configured","No connectors configured","Žádné konektory nejsou nastaveny"
"agents.persona_overview.click_to_copy","Click to copy","Kliknutím zkopírujete"
"agents.overview_empty.title","No personas match these filters","Těmto filtrům neodpovídají žádné persony"
"agents.overview_empty.subtitle","Try adjusting your search or filter chips, or reset the view to see all personas.","Zkuste upravit hledání nebo filtry, případně zobrazení resetujte pro zobrazení všech person."
"agents.overview_empty.clear_all_filters","Clear all filters","Smazat všechny filtry"
"agents.overview_batch.selected","{count} selected","{count} vybráno"
"agents.overview_menu.more_actions","More actions","Další akce"
"agents.overview_menu.settings","Settings","Nastavení"
"agents.overview_toolbar.search_placeholder","Search personas...","Hledat persony..."
"agents.overview_toolbar.show_all","Show all personas","Zobrazit všechny persony"
"agents.overview_toolbar.show_favorites","Show only favorites","Zobrazit pouze oblíbené"
"agents.overview_toolbar.favorites","Favorites","Oblíbené"
"agents.overview_toolbar.clear_search","Clear search","Smazat hledání"
"agents.overview_columns.persona","Persona","Persona"
"agents.overview_columns.connectors","Connectors","Konektory"
"agents.overview_columns.status","Status","Stav"
"agents.overview_columns.trust","Trust","Důvěra"
"agents.overview_columns.triggers","Triggers","Spouštěče"
"agents.overview_columns.last_run","Last Run","Poslední běh"
"agents.overview_columns.all_statuses","All Statuses","Všechny stavy"
"agents.overview_columns.active_only","Active only","Pouze aktivní"
"agents.overview_columns.disabled_only","Disabled only","Pouze vypnuté"
"agents.overview_columns.building_drafts","Building / Drafts","Sestavování / Návrhy"
"agents.overview_columns.all_health","All Health","Veškeré zdraví"
"agents.overview_columns.all_connectors","All Connectors","Všechny konektory"
"agents.overview_columns.active_triggers","{count} active trigger(s)","{count} aktivních spouštěčů"
"agents.health_indicator.last","last {count}","posledních {count}"
"agents.view_presets.views","Views","Zobrazení"
"agents.view_presets.save_current","Save Current View","Uložit aktuální zobrazení"
"agents.view_presets.smart_presets","Smart Presets","Chytré předvolby"
"agents.view_presets.your_views","Your Views","Vaše zobrazení"
"agents.view_presets.custom_view","Custom View","Vlastní zobrazení"
"agents.view_presets.custom_filters","Custom filters","Vlastní filtry"
"agents.view_presets.reset_defaults","Reset to defaults","Obnovit výchozí"
"agents.view_presets.view_name_placeholder","View name...","Název zobrazení..."
"agents.view_presets.enter_view_name","Enter a view name","Zadejte název zobrazení"
"agents.view_presets.delete_view","Delete view","Smazat zobrazení"
"agents.view_presets.active_healthy","Active & Healthy","Aktivní a v pořádku"
"agents.view_presets.needs_attention","Needs Attention","Vyžaduje pozornost"
"agents.view_presets.failing_agents","Failing Agents","Chybující agenti"
"agents.view_presets.my_favorites","My Favorites","Moje oblíbené"
"agents.view_presets.recently_active","Recently Active","Nedávno aktivní"
"agents.activity.title","Activity","Aktivita"
"agents.activity.items","{count} items","{count} položek"
"agents.activity.all_statuses","All statuses","Všechny stavy"
"agents.activity.select_persona","Select a persona to view activity","Vyberte personu pro zobrazení aktivity"
"agents.activity.no_activity","No activity yet","Zatím žádná aktivita"
"agents.activity.execution","Execution","Spuštění"
"agents.activity.description","Description","Popis"
"agents.activity.context","Context","Kontext"
"agents.activity.reviewer_notes","Reviewer Notes","Poznámky kontrolujícího"
"agents.activity.approve","Approve","Schválit"
"agents.activity.reject","Reject","Zamítnout"
"agents.activity.col_activity","Activity","Aktivita"
"agents.activity.col_status","Status","Stav"
"agents.activity.col_time","Time","Čas"
"agents.activity.execution_status","Execution {status}","Spuštění: {status}"
"agents.activity.no_output","No output","Bez výstupu"
"agents.activity.message_title","Message","Zpráva"
"agents.activity.modal_execution_title","{name} - Execution","{name} – Spuštění"
"agents.activity.modal_execution_subtitle","ID: {id}","ID: {id}"
"agents.activity.modal_review_title","Review: {title}","Kontrola: {title}"
"agents.activity.modal_review_subtitle","Severity: {severity} · Status: {status}","Závažnost: {severity} · Stav: {status}"
"agents.chat.select_persona","Select a persona to start chatting","Vyberte personu pro zahájení chatu"
"agents.chat.waiting","Waiting for response...","Čekání na odpověď..."
"agents.chat.ask_anything","Ask anything about this agent...","Zeptejte se na cokoli o tomto agentovi..."
"agents.chat.enter_to_send","Enter to send, Shift+Enter for new line","Enter pro odeslání, Shift+Enter pro nový řádek"
"agents.chat.scroll_to_bottom","Scroll to bottom","Posunout dolů"
"agents.chat.experiments_running_one","{count} experiment running -- results will appear here when ready","Běží {count} experiment – výsledky se zobrazí, až budou připraveny"
"agents.chat.experiments_running_other","{count} experiments running -- results will appear here when ready","Běží {count} experimentů – výsledky se zobrazí, až budou připraveny"
"agents.chat.you","You","Vy"
"agents.chat.assistant","Assistant","Asistent"
"agents.chat.thinking","thinking...","přemýšlím..."
"agents.chat.copy_message","Copy message","Kopírovat zprávu"
"agents.chat.no_conversations","No conversations yet","Zatím žádné konverzace"
"agents.chat.new_chat","New Chat","Nový chat"
"agents.chat.confirm_delete","Delete?","Smazat?"
"agents.chat.processing","Processing...","Zpracování..."
"agents.chat.delete_conversation","Delete conversation","Smazat konverzaci"
"agents.chat.confirm_delete_conversation","Confirm delete conversation","Potvrdit smazání konverzace"
"agents.advisory.how_can_improve","How can this agent work better for you?","Jak může tento agent fungovat lépe?"
"agents.advisory.go","Go","Spustit"
"agents.advisory.improve","Improve","Zlepšit"
"agents.advisory.improve_desc","Describe what you want this agent to do better","Popište, co chcete, aby agent dělal lépe"
"agents.advisory.improve_goal_label","What should improve?","Co by se mělo zlepšit?"
"agents.advisory.experiment","Experiment","Experiment"
"agents.advisory.experiment_desc","Test two approaches side-by-side","Otestujte dva přístupy vedle sebe"
"agents.advisory.experiment_hypothesis_label","What to test?","Co testovat?"
"agents.advisory.analyze","Analyze","Analyzovat"
"agents.advisory.analyze_desc","Review performance trends and patterns","Zkontrolovat trendy výkonu a vzorce"
"agents.advisory.test_run","Test Run","Testovací spuštění"
"agents.advisory.test_run_desc","Run the agent and evaluate the result","Spusťte agenta a vyhodnoťte výsledek"
"agents.advisory.test_input_label","Test input (optional)","Testovací vstup (volitelné)"
"agents.ops.sessions","Sessions","Relace"
"agents.ops.run","Run","Spustit"
"agents.ops.lab","Lab","Lab"
"agents.ops.health","Health","Zdraví"
"agents.ops.assertions","Assertions","Tvrzení"
"agents.ops.switch_panel","Switch to {panel} panel","Přepnout na panel {panel}"
"agents.ops.choose_action","Choose an action or type a message below","Vyberte akci nebo napište zprávu níže"
"agents.ops.diagnose","Diagnose","Diagnostikovat"
"agents.ops.diagnose_desc","Analyze health, performance and find issues","Analyzovat zdraví, výkon a najít problémy"
"agents.ops.execute","Execute","Spustit"
"agents.ops.execute_desc","Run the agent with optional input","Spustit agenta s volitelným vstupem"
"agents.ops.input_optional","Input (optional)","Vstup (volitelné)"
"agents.ops.arena_test","Arena Test","Arena Test"
"agents.ops.arena_test_desc","Compare models head-to-head","Přímé porovnání modelů"
"agents.ops.models","Models","Modely"
"agents.ops.improve","Improve","Zlepšit"
"agents.ops.improve_desc","AI-driven persona refinement","Vylepšení persony pomocí AI"
"agents.ops.focus_area","Focus area","Oblast zaměření"
"agents.ops.executions","Executions","Spuštění"
"agents.ops.executions_desc","Review recent execution history","Zkontrolovat historii posledních spuštění"
"agents.ops.knowledge","Knowledge","Znalosti"
"agents.ops.knowledge_desc","View memories and learned patterns","Zobrazit vzpomínky a naučené vzorce"
"agents.ops.reviews","Reviews","Kontroly"
"agents.ops.reviews_desc","Pending approvals and decisions","Čekající schválení a rozhodnutí"
"agents.ops.versions","Versions","Verze"
"agents.ops.versions_desc","Prompt version history and rollback","Historie verzí promptů a návrat zpět"
"agents.ops_run.execute_agent","Execute Agent","Spustit agenta"
"agents.ops_run.running","Running...","Běží..."
"agents.ops_run.recent","Recent","Nedávné"
"agents.ops_run.no_executions","No executions yet","Zatím žádná spuštění"
"agents.ops_run.refresh_executions","Refresh executions","Obnovit spuštění"
"agents.ops_lab.history","History","Historie"
"agents.ops_lab.no_lab_runs","No lab runs yet","Zatím žádná spuštění v Labu"
"agents.ops_lab.refresh_lab","Refresh lab history","Obnovit historii Labu"
"agents.ops_lab.arena","Arena","Arena"
"agents.ops_lab.improve","Improve","Zlepšit"
"agents.ops_health.no_health_data","No health data","Žádná data o zdraví"
"agents.ops_health.run_health_check","Run Health Check","Spustit kontrolu zdraví"
"agents.ops_health.checking","Checking...","Kontrola..."
"agents.ops_health.last_check","Last check","Poslední kontrola"
"agents.ops_health.checked_at","Checked {time}","Zkontrolováno {time}"
"agents.ops_health.issues","Issues","Problémy"
"agents.ops_health.run_check_aria","Run health check","Spustit kontrolu zdraví"
"agents.ops_health.healthy","Healthy","V pořádku"
"agents.ops_health.degraded","Degraded","Omezeno"
"agents.ops_health.unhealthy","Unhealthy","Nefunkční"
"agents.ops_assertions.active_count","{enabled}/{total} active","{enabled}/{total} aktivních"
"agents.ops_assertions.no_assertions","No assertions configured","Žádná tvrzení nejsou nastavena"
"agents.ops_assertions.refresh_assertions","Refresh assertions","Obnovit tvrzení"
"agents.ops_assertions.enable_assertion","Enable {name}","Povolit {name}"
"agents.ops_assertions.disable_assertion","Disable {name}","Zakázat {name}"
"agents.health_tab.title","Health Check","Kontrola zdraví"
"agents.health_tab.description","Run a dry-run analysis against this agent's current configuration to detect missing credentials, disconnected connectors, incompatible tool combinations, and underspecified use cases. Issues are surfaced as actionable cards with one-click fixes.","Spusťte simulaci pro kontrolu konfigurace agenta. Zjistíte chybějící údaje, odpojené konektory nebo nevhodné kombinace nástrojů. Problémy se zobrazí jako karty s možností opravy jedním kliknutím."
"agents.matrix_tab.loading","Loading matrix","Načítání matice"
"agents.matrix_tab.no_data","No matrix data available. Build or rebuild this persona to generate dimensions.","Žádná data v matici. Sestavte personu pro vygenerování dimenzí."
"agents.settings_status.saving","Saving {sections}...","Ukládání {sections}..."
"agents.settings_status.changed","{sections} changed","{sections} změněno"
"agents.settings_status.all_saved","All changes saved","Všechny změny uloženy"
"agents.settings_status.irreversible","Irreversible","Nezvratné"
"agents.settings_status.identity","Identity","Identita"
"agents.settings_status.execution","Execution","Spuštění"
"agents.settings_status.label_name","Name","Název"
"agents.settings_status.label_description","Description","Popis"
"agents.settings_status.label_icon","Icon","Ikona"
"agents.settings_status.label_color","Color","Barva"
"agents.settings_status.max_concurrent","Max Concurrent","Max. souběžných"
"agents.settings_status.timeout_sec","Timeout (sec)","Časový limit (s)"
"agents.settings_status.execution_retention","Execution Retention","Uchování spuštění"
"agents.settings_status.months","months","měsíců"
"agents.settings_status.persona_enabled","Persona Enabled","Persona zapnuta"
"agents.settings_status.sensitive_preview","Sensitive Preview","Citlivý náhled"
"agents.settings_status.sensitive_preview_desc","Mask hover preview details until revealed.","Skrýt detaily náhledu, dokud nebudou odhaleny."
"agents.settings_status.failed_health_watch","Failed to update health watch setting","Nepodařilo se aktualizovat hlídání zdraví"
"agents.settings_status.health_watch","Health Watch","Hlídání zdraví"
"agents.settings_status.health_watch_active","Health monitoring active (every 6h)","Hlídání zdraví aktivní (každých 6 h)"
"agents.settings_status.health_watch_enable","Enable continuous health monitoring","Zapnout průběžné hlídání zdraví"
"agents.tool_runner.no_tools","No tools assigned to this persona.","K této personě nejsou přiřazeny žádné nástroje."
"agents.tool_runner.input_json","Input JSON","Vstupní JSON"
"agents.tool_runner.run","Run","Spustit"
"agents.tool_runner.running","Running...","Běží..."
"agents.tool_runner.success","Success","Úspěch"
"agents.tool_runner.failed","Failed","Selhalo"
"agents.tool_runner.error","Error","Chyba"
"agents.health_check.title","Agent Health Check","Kontrola zdraví agenta"
"agents.health_check.idle_description","Run a dry-run analysis to detect missing credentials, disconnected connectors, and underspecified use cases.","Spusťte simulaci pro zjištění chybějících údajů, odpojených konektorů nebo neúplných případů užití."
"agents.health_check.run_check","Run Check","Spustit kontrolu"
"agents.health_check.select_agent","Select an agent to run health check","Vyberte agenta pro kontrolu zdraví"
"agents.health_check.scanning","Scanning agent configuration...","Skenování konfigurace agenta..."
"agents.health_check.scanning_detail","Checking credentials, connectors, and use cases","Kontrola údajů, konektorů a případů užití"
"agents.health_check.check_failed","Health check failed","Kontrola zdraví selhala"
"agents.health_check.issues_found_one","{count} issue found","Nalezen {count} problém"
"agents.health_check.issues_found_other","{count} issues found","Nalezeno {count} problémů"
"agents.health_check.no_issues","No issues detected","Žádné problémy nezjištěny"
"agents.health_check.stale","Stale","Zastaralé"
"agents.health_check.rerun","Re-run","Znovu spustit"
"agents.health_check.capabilities","Capabilities","Schopnosti"
"agents.health_check.all_healthy","All systems healthy","Všechny systémy v pořádku"
"agents.health_check.all_healthy_detail","No issues detected in agent configuration","V konfiguraci agenta nebyly zjištěny žádné problémy"
"agents.health_digest.title","Agent Health Digest","Souhrn zdraví agentů"
"agents.health_digest.description","Run a comprehensive health check across all your agents to detect configuration drift, expired credentials, and optimization opportunities.","Spusťte celkovou kontrolu všech agentů pro zjištění odchylek konfigurace, expirovaných údajů a příležitostí k optimalizaci."
"agents.health_digest.run_digest","Run Health Digest","Spustit souhrn zdraví"
"agents.health_digest.generating","Generating digest...","Generování souhrnu..."
"agents.health_digest.stale_warning","Health data is outdated. Re-run for current results.","Data o zdraví jsou zastaralá. Spusťte znovu pro aktuální výsledky."
"agents.health_digest.all_healthy","All systems healthy","Všechny systémy v pořádku"
"agents.health_digest.some_attention","Some agents need attention","Někteří agenti vyžadují pozornost"
"agents.health_digest.critical_issues","Critical issues detected","Zjištěny kritické problémy"
"agents.health_digest.agents_checked_one","{count} agent checked","{count} agent zkontrolován"
"agents.health_digest.agents_checked_other","{count} agents checked","{count} agentů zkontrolováno"
"agents.health_digest.issues_one","{count} issue","{count} problém"
"agents.health_digest.issues_other","{count} issues","{count} problémů"
"agents.health_digest.last_run","Last run: {time}","Poslední běh: {time}"
"agents.health_issue.apply_fix","Apply Fix: {label}","Použít opravu: {label}"
"agents.health_issue.manual_action","Manual action needed","Nutná manuální akce"
"agents.health_score.healthy","Healthy","V pořádku"
"agents.health_score.degraded","Degraded","Omezeno"
"agents.health_score.unhealthy","Unhealthy","Nefunkční"
"agents.prompt_editor.no_persona","No persona selected","Žádná persona nevybrána"
"agents.prompt_editor.enter_content","Enter {section} content...","Zadejte obsah pro {section}..."
"agents.prompt_editor.new_section","New Section","Nová sekce"
"agents.prompt_editor.saved","Saved","Uloženo"
"agents.prompt_editor.sections","sections","sekcí"
"agents.custom_sections.title","Custom Sections","Vlastní sekce"
"agents.custom_sections.add","Add","Přidat"
"agents.custom_sections.no_sections","No custom sections yet","Zatím žádné vlastní sekce"
"agents.custom_sections.section_fallback","Section {index}","Sekce {index}"
"agents.custom_sections.remove_section","Remove section","Odebrat sekci"
"agents.custom_sections.title_placeholder","Section title...","Název sekce..."
"agents.custom_sections.content_placeholder","Section content...","Obsah sekce..."
"agents.custom_sections.custom_section","Custom Section","Vlastní sekce"
"agents.activity_filters.all","All","Vše"
"agents.activity_filters.executions","Executions","Spuštění"
"agents.activity_filters.events","Events","Události"
"agents.activity_filters.memories","Memories","Vzpomínky"
"agents.activity_filters.reviews","Reviews","Kontroly"
"agents.activity_filters.messages","Messages","Zprávy"
"agents.overview_actions.delete_agent","Delete Agent","Smazat agenta"
"agents.overview_actions.delete_agent_message","This agent and all its configuration will be permanently removed.","Tento agent a veškerá jeho konfigurace budou trvale odstraněny."
"agents.overview_actions.delete_agents","Delete {count} Agent(s)","Smazat {count} agent(y/ů)"
"agents.overview_actions.delete_agents_message","{count} agent(s) and all their configuration will be permanently removed.","{count} agent(y/ů) a veškerá jejich konfigurace budou trvale odstraněny."
"agents.overview_actions.delete_drafts","Delete {count} Draft(s)","Smazat {count} návrh(y/ů)"
"agents.overview_actions.delete_drafts_message","{count} draft agent(s) will be permanently removed.","{count} rozpracovaných agentů bude trvale odstraněno."
"agents.persona_list.all_personas","All Personas","Všechny persony"
"agents.persona_list.delete_drafts_btn","Delete Drafts ({count})","Smazat návrhy ({count})"
"agents.persona_list.badge_draft","Draft","Návrh"
"agents.persona_list.badge_disabled","Disabled","Vypnuto"
"agents.persona_list.badge_building","Building","Sestavování"
"agents.persona_list.batch_selected","{count} selected","{count} vybráno"
"agents.persona_list.batch_delete","Delete","Smazat"
"agents.persona_list.batch_clear","Clear","Vymazat"
"agents.persona_list.no_personas_match","No personas match","Žádné persony neodpovídají"
"agents.persona_list.no_connectors","No connectors","Žádné konektory"
"agents.persona_list.never","Never","Nikdy"
"agents.persona_list.click_to_copy","Click to copy","Kliknutím zkopírujete"
"agents.persona_list.description_copied","Description copied to clipboard","Popis zkopírován"
"agents.persona_list.copy_failed","Failed to copy description","Kopírování popisu selhalo"
"agents.persona_list.no_match_filters","No personas match these filters","Filtrům neodpovídají žádné persony"
"agents.persona_list.adjust_filters_hint","Try adjusting your search or filter chips, or reset the view to see all personas.","Zkuste upravit hledání nebo filtry pro zobrazení všech person."
"agents.persona_list.clear_all_filters","Clear all filters","Smazat všechny filtry"
"agents.persona_list.more_actions","More actions","Další akce"
"agents.persona_list.settings","Settings","Nastavení"
"agents.persona_list.search_personas","Search personas…","Hledat persony…"
"agents.persona_list.favorites","Favorites","Oblíbené"
"agents.persona_list.show_all_personas","Show all personas","Zobrazit všechny persony"
"agents.persona_list.show_only_favorites","Show only favorites","Zobrazit pouze oblíbené"
